297
1 2 3
2 4 1
3 2 4
4 1 6
5 1 9
6 0 3
7 0 5
8 2 6
9 2 4
10 2 2
11 0 7
12 1 4
13 0 3
14 0 3
15 1 4
16 1 5
17 1 4
18 2 3
19 2 6
20 1 4
21 3 2
22 3 2
23 3 3
24 1 3
25 2 2
26 2 4
27 3 5
28 2 4
29 2 5
30 3 3
31 0 4
32 1 5
33 0 5
34 1 2
35 2 2
36 4 4
37 3 2
38 0 4
39 3 6
40 1 7
41 2 3
42 3 2
43 2 4
44 3 3
45 3 3
46 1 3
47 2 2
48 2 5
49 2 6
50 2 2
51 3 4
52 2 4
53 1 5
54 3 5
55 3 1
56 2 3
57 2 2
58 3 2
59 2 3
60 3 3
61 1 3
62 2 4
63 2 5
64 0 4
65 0 4
66 0 4
67 1 3
68 2 2
69 1 3
70 1 4
71 1 2
72 3 3
73 3 4
74 1 2
75 2 2
76 1 4
77 3 3
78 3 5
79 0 4
80 1 3
81 2 2
82 4 4
83 3 1
84 1 7
85 3 4
86 1 5
87 0 4
88 2 3
89 3 6
90 1 6
91 2 3
92 3 1
93 0 4
94 0 4
95 3 2
96 1 4
97 1 4
98 0 4
99 1 5
100 1 3
101 3 2
102 3 1
103 1 4
104 1 3
105 1 3
106 0 5
107 4 3
108 2 6
109 2 2
110 1 6
111 2 3
112 3 1
113 3 3
114 2 2
115 2 5
116 1 6
117 1 2
118 2 2
119 1 5
120 0 6
121 3 2
122 1 4
123 8 2
124 2 1
125 3 3
126 1 3
127 0 6
128 1 3
129 0 6
130 1 2
131 2 3
132 2 3
133 1 3
134 3 2
135 2 6
136 3 2
137 2 5
138 3 9
139 2 3
140 1 2
0 106
0 260
0 260
0 260
0 106
0 260
0 260
0 260
0 260
0 829
0 260
0 260
0 950
0 155
593 950
0 278
40 786
668 106
668 106
0 673
0 673
0 278
0 278
0 278
0 876
0 278
0 829
0 278
810 7
0 950
667 876
696 7
0 673
0 829
668 66
0 278
0 673
0 79
667 876
0 673
0 467
728 136
0 673
0 673
0 467
0 829
667 876
0 16
486 428
25 595
646 218
761 136
40 786
0 278
844 473
25 614
0 467
0 876
668 106
0 162
0 218
0 673
826 756
276 89
612 218
0 829
0 428
40 786
704 943
40 737
159 377
257 218
0 829
112 316
869 218
0 673
646 249
300 242
101 953
46 48
771 756
129 467
14 278
457 560
40 737
486 614
40 737
40 737
0 116
0 18
0 766
15 943
0 529
749 829
486 428
0 0
486 428
223 164
457 560
0 529
